SiteID,Location,Apt,City,1st_Btl_ID,2nd_Btl_ID,1stDraw_SampDT,2ndDraw_SampDT,1stDraw_Pb_ppb,2ndDraw_Pb_ppb,1stDraw_Cu_ppb,2ndDraw_Cu_ppb,1stDraw_Specific_Conductance_uS/cm,2ndDraw_Specific_Conductance_uS/cm,1stDraw_Pb-TestDT,2ndDraw_Pb-TestDT,1stDraw_Cu-TestDT,2ndDraw_Cu-TestDT,1stDraw_SC-TestDT,2ndDraw_SC-TestDT,Testing_Lab
06302106A,2770  DEWEY AVENUE,06A,BRONX,AL-58508,AL-58509,3/18/16 16:30,3/18/16 16:30,0,0,49,22,178.1,172.2,3/21/16,3/21/16,3/23/16,3/21/16,3/21/16,3/21/16,Lefrak
06305901D,2815  SCHLEY AVENUE,01D,BRONX,AL-58512,AL-58513,3/18/16 16:52,3/18/16 16:53,0,0,43,8,182,164.9,3/20/16,3/20/16,3/20/16,3/20/16,3/21/16,3/21/16,Lefrak
06701304A,1040  ROSEDALE AVENUE,04A,BRONX,AL-58526,AL-58527,3/18/16 17:15,3/18/16 17:20,0,0,37,17,264.8,255.5,3/20/16,3/22/16,3/20/16,3/22/16,3/21/16,3/22/16,Lefrak
07200505F,1548  EAST NEW YORK AVENUE,05F,BROOKLYN,AL-58536,AL-58537,3/18/16 16:53,3/18/16 16:55,0,0,29,13,93.2,93.9,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
07200507E,1548  EAST NEW YORK AVENUE,07E,BROOKLYN,AL-58538,AL-58539,3/18/16 16:48,3/18/16 16:50,0,0,31,13,93.5,93.2,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
08000714E,530  OLMSTEAD AVENUE,14E,BRONX,AL-58558,AL-58559,3/18/16 17:38,3/18/16 19:20,0,0,45,15,245.7,242.5,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
08400707F,600  EAST 137TH STREET,07F,BRONX,AL-58588,AL-58589,3/18/16 18:15,3/18/16 18:20,0,1,18,22,93.2,93.8,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,3/21/16,Lefrak
08600315J,849  FLUSHING AVENUE,15J,BROOKLYN,AL-58590,AL-58591,3/18/16 17:11,3/18/16 17:14,0,0,27,13,93.4,93.2,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
08600316B,849  FLUSHING AVENUE,16B,BROOKLYN,AL-58592,AL-58593,3/18/16 16:59,3/18/16 17:02,0,0,19,20,93.2,93.2,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
08900408A,2678  LINDEN BOULEVARD,08A,BROOKLYN,AL-58612,AL-58613,3/18/16 16:38,3/18/16 16:40,0,0,242,51,93.3,93.2,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
08901005A,1259  LORING AVENUE,05A,BROOKLYN,AL-58616,AL-58617,3/18/16 16:58,3/18/16 17:00,0,0,15,10,93,93,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
08901108E,1305  LORING AVENUE,08E,BROOKLYN,AL-58618,AL-58619,3/18/16 17:09,3/18/16 17:11,0,0,80,27,93.2,93.3,3/23/16,3/23/16,3/23/16,3/22/16,3/22/16,3/22/16,Lefrak
09500307E,630  STANLEY AVENUE,07E,BROOKLYN,AL-58632,AL-58633,3/18/16 16:15,3/18/16 16:17,0,0,114,21,94.3,93.2,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
09500504A,245  WORTMAN AVENUE,04A,BROOKLYN,AL-58636,AL-58637,3/18/16 16:31,3/18/16 16:31,0,0,33,8,93.3,93.2,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,3/22/16,Lefrak
